,cuentas,valor,trimestre,year
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"101,792",I,2023
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"309,153",II,2023
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(49,971)",II,2023
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(296,647)",II,2023
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"178,713",II,2023
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"88,069",III,2023
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(82,845)",III,2023
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(111,137)",III,2023
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"110,265",III,2023
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"281,799",IV,2023
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(107,516)",IV,2023
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"95,794",IV,2023
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"486,255",IV,2023
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"234,786",I,2024
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(19,066)",I,2024
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(120,672)",I,2024
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"581,303",I,2024
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"791,677",II,2024
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(40,534)",II,2024
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(967,786)",II,2024
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"269,612",II,2024
